"no";"volt";"arus";"baterai";"suhu";"kelembaban";"updated_at"
"1";"7.5";"0";"1";"29";"58.7";"2024-10-08 14:03:39"
"2";"7.5";"0";"1";"28.9";"58.7";"2024-10-08 14:03:44"
"3";"7.5";"0";"1";"28.9";"58.7";"2024-10-08 14:03:50"
"4";"7.52";"0";"1";"28.9";"58.7";"2024-10-08 14:03:54"
"5";"7.5";"0";"1";"28.9";"58.5";"2024-10-08 14:03:59"
"6";"7.54";"0";"1";"28.9";"58.5";"2024-10-08 14:04:04"
"7";"7.5";"0";"1";"28.9";"58.4";"2024-10-08 14:04:09"
"8";"7.52";"0";"1";"28.9";"58.5";"2024-10-08 14:04:14"
"9";"7.54";"0";"1";"28.9";"58.5";"2024-10-08 14:04:19"
"10";"7.52";"0";"1";"28.9";"58.5";"2024-10-08 14:04:24"
"11";"7.54";"0";"1";"28.9";"58.6";"2024-10-08 14:04:29"
"12";"7.52";"0";"1";"29";"58.6";"2024-10-08 14:04:34"
"13";"7.52";"0";"1";"28.9";"58.7";"2024-10-08 14:04:40"
"14";"7.52";"0";"1";"28.9";"58.7";"2024-10-08 14:04:45"
"15";"7.52";"0";"1";"28.9";"58.7";"2024-10-08 14:04:50"
"16";"7.52";"0";"1";"28.9";"58.9";"2024-10-08 14:04:55"
"17";"7.52";"0";"1";"28.9";"59.1";"2024-10-08 14:05:00"
"18";"7.54";"0";"1";"28.9";"59.2";"2024-10-08 14:05:05"
"19";"7.54";"0";"1";"28.9";"59.4";"2024-10-08 14:05:10"
"20";"7.54";"0";"1";"28.9";"59.5";"2024-10-08 14:05:15"
"21";"7.54";"0";"1";"28.9";"59.5";"2024-10-08 14:05:20"
"22";"7.52";"0";"1";"28.9";"59.4";"2024-10-08 14:05:26"
"23";"7.52";"0";"1";"29";"59.2";"2024-10-08 14:05:30"
"24";"7.52";"0";"1";"28.9";"59";"2024-10-08 14:05:35"
"25";"7.5";"0";"1";"29";"59";"2024-10-08 14:05:41"
"26";"7.5";"0";"1";"28.9";"59";"2024-10-08 14:05:45"
"27";"7.54";"0";"1";"29";"59";"2024-10-08 14:05:50"
"28";"7.5";"0";"1";"29";"59.1";"2024-10-08 14:05:56"
"29";"7.52";"0";"1";"29";"59.2";"2024-10-08 14:06:01"
"30";"7.52";"0";"1";"29";"59.2";"2024-10-08 14:06:06"
"31";"7.52";"0";"1";"29";"59.3";"2024-10-08 14:06:11"
"32";"7.5";"0";"1";"29";"59.3";"2024-10-08 14:06:16"
"33";"7.5";"0";"1";"29";"59.3";"2024-10-08 14:06:21"
"34";"7.52";"0";"1";"29";"59.3";"2024-10-08 14:06:26"
"35";"7.5";"0";"1";"29";"59.3";"2024-10-08 14:06:31"
"36";"7.5";"0";"1";"29";"59.2";"2024-10-08 14:06:36"
"37";"7.5";"0";"1";"29";"59.2";"2024-10-08 14:06:41"
"38";"7.52";"0";"1";"29";"59.2";"2024-10-08 14:06:46"
"39";"7.5";"0";"1";"28.9";"59.2";"2024-10-08 14:06:51"
"40";"7.5";"0";"1";"29";"59.3";"2024-10-08 14:06:56"
"41";"7.52";"0";"1";"29";"59.3";"2024-10-08 14:07:01"
"42";"7.52";"0";"1";"29";"59.3";"2024-10-08 14:07:06"
"43";"7.52";"0";"1";"29";"59.4";"2024-10-08 14:07:12"
"44";"7.52";"0";"1";"29";"59.4";"2024-10-08 14:07:17"
"45";"7.54";"0";"1";"29";"59.5";"2024-10-08 14:07:22"
"46";"7.54";"0";"1";"29";"59.5";"2024-10-08 14:07:27"
"47";"7.5";"0";"1";"29";"59.5";"2024-10-08 14:07:32"
"48";"7.52";"0";"1";"29";"59.5";"2024-10-08 14:07:37"
"49";"7.54";"0";"1";"29";"59.4";"2024-10-08 14:07:49"
"50";"7.52";"0";"1";"29";"59.3";"2024-10-08 14:07:49"
"51";"7.5";"0";"1";"29";"59.3";"2024-10-08 14:07:52"
"52";"7.52";"0";"1";"29";"59.3";"2024-10-08 14:07:57"
"53";"7.54";"0";"1";"29";"59.4";"2024-10-08 14:08:02"
"54";"7.54";"0";"1";"29";"59.3";"2024-10-08 14:08:07"
"55";"7.52";"0";"1";"29";"59.2";"2024-10-08 14:08:12"
"56";"7.52";"0";"1";"29";"59.2";"2024-10-08 14:08:17"
"57";"7.52";"0";"1";"29";"59.2";"2024-10-08 14:08:22"
"58";"7.52";"0";"1";"29";"59.1";"2024-10-08 14:08:28"
"59";"7.54";"0";"1";"29";"59";"2024-10-08 14:08:33"
"60";"7.5";"0";"1";"29";"59";"2024-10-08 14:08:38"
"61";"7.5";"0";"1";"29";"59";"2024-10-08 14:08:43"
"62";"7.5";"0";"1";"29";"59";"2024-10-08 14:08:48"
"63";"7.5";"0";"1";"29";"59";"2024-10-08 14:08:53"
"64";"7.52";"0";"1";"29";"59.1";"2024-10-08 14:08:58"
"65";"7.52";"0";"1";"29";"59.1";"2024-10-08 14:09:03"
"66";"7.52";"0";"1";"29";"59.1";"2024-10-08 14:09:08"
"67";"7.52";"0";"1";"29";"59.1";"2024-10-08 14:09:13"
"68";"7.52";"0";"1";"29";"59.2";"2024-10-08 14:09:18"
"69";"7.52";"0";"1";"29";"59.2";"2024-10-08 14:09:23"
"70";"7.5";"0";"1";"29";"59.3";"2024-10-08 14:09:28"
"71";"7.54";"0";"1";"29";"59.3";"2024-10-08 14:09:33"
"72";"7.52";"0";"1";"29";"59.3";"2024-10-08 14:09:38"
"73";"7.52";"0";"1";"29";"59.4";"2024-10-08 14:09:44"
"74";"7.5";"0";"1";"29";"59.4";"2024-10-08 14:09:49"
"75";"7.5";"0";"1";"29";"59.5";"2024-10-08 14:09:54"
"76";"7.5";"0";"1";"29";"59.6";"2024-10-08 14:09:59"
"77";"7.52";"0";"1";"29";"59.5";"2024-10-08 14:10:04"
"78";"7.52";"0";"1";"29";"59.5";"2024-10-08 14:10:09"
"79";"7.52";"0";"1";"29";"59.6";"2024-10-08 14:10:14"
"80";"7.5";"0";"1";"29";"59.6";"2024-10-08 14:10:19"
"81";"7.5";"0";"1";"29";"59.7";"2024-10-08 14:13:02"
"82";"7.52";"0";"1";"29";"59.8";"2024-10-08 14:13:07"
"83";"7.52";"0";"1";"29";"59.8";"2024-10-08 14:13:12"
"84";"7.52";"0";"1";"29";"59.9";"2024-10-08 14:13:17"
"85";"7.28";"0";"1";"29";"59.9";"2024-10-08 14:13:56"
"86";"7.28";"0";"1";"29";"59.6";"2024-10-08 14:14:01"
"87";"7.28";"0";"1";"29";"59.5";"2024-10-08 14:14:06"
"88";"7.28";"0";"1";"29";"59.5";"2024-10-08 14:14:11"
"89";"7.28";"0";"1";"29";"59.5";"2024-10-08 14:14:17"
"90";"7.28";"0";"1";"29";"59.5";"2024-10-08 14:14:22"
"91";"7.28";"0";"1";"29";"59.4";"2024-10-08 14:14:27"
"92";"7.28";"0";"1";"29";"59.4";"2024-10-08 14:14:32"
"93";"7.28";"0";"1";"29";"59.4";"2024-10-08 14:14:37"
"94";"7.28";"0";"1";"29";"59.4";"2024-10-08 14:14:42"
"95";"7.28";"0";"1";"29.1";"59.5";"2024-10-08 14:14:47"
"96";"0";"0";"1";"28.8";"58.9";"2024-10-08 14:18:56"
"97";"0";"0";"1";"28.8";"58.5";"2024-10-08 14:19:01"
"98";"0";"0";"1";"28.8";"58.5";"2024-10-08 14:19:06"
"99";"0";"0";"1";"28.8";"58.4";"2024-10-08 14:19:11"
"100";"0";"0";"1";"28.8";"58.5";"2024-10-08 14:19:16"
"101";"0";"0";"1";"28.8";"58.4";"2024-10-08 14:19:21"
"102";"0";"0";"1";"28.8";"58.4";"2024-10-08 14:19:26"
"103";"0";"0";"1";"28.8";"58.3";"2024-10-08 14:19:31"
"104";"0";"0";"1";"28.8";"58.3";"2024-10-08 14:19:37"
"105";"0";"0";"1";"28.8";"58.3";"2024-10-08 14:19:42"
"106";"0";"0";"1";"28.8";"58.3";"2024-10-08 14:19:47"
"107";"0";"0";"1";"28.8";"58.3";"2024-10-08 14:19:52"
"108";"0";"0";"1";"28.8";"58.3";"2024-10-08 14:19:57"
"109";"0";"0";"1";"28.8";"58.3";"2024-10-08 14:20:02"
"110";"0";"0";"1";"28.8";"58.2";"2024-10-08 14:20:07"
"111";"12.79";"0";"79.8";"28.8";"58.3";"2024-10-08 14:20:12"
"112";"12.79";"0";"79.8";"28.7";"58.3";"2024-10-08 14:20:18"
"113";"12.79";"0";"79.8";"28.7";"58.3";"2024-10-08 14:20:23"
"114";"12.79";"0";"79.8";"28.7";"58.2";"2024-10-08 14:20:28"
"115";"12.79";"0";"79.8";"28.7";"58.3";"2024-10-08 14:20:33"
"116";"12.79";"0";"79.8";"28.7";"58.3";"2024-10-08 14:20:38"
"117";"12.79";"0";"79.8";"28.7";"58.3";"2024-10-08 14:20:43"
"118";"12.79";"0";"79.8";"28.7";"58.3";"2024-10-08 14:20:48"
"119";"12.79";"0";"79.8";"28.7";"58.3";"2024-10-08 14:20:53"
